Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Managers,Year,Wins
ARI,2177617,26884,28.3,27.4,103,103,0,1,12,67069833.00,2:58,Gibson,2012,81
ATL,2420171,29879,28.5,27.6,102,101,0,4,15,86208000.00,2:55,Gonzalez,2012,94
BAL,2102240,25954,28,27.6,102,103,0,3,14,77949000.00,3:00,Showalter,2012,93
BOS,3043003,37568,29.4,28.7,104,103,0,1,16,110386000.00,3:09,Valentine,2012,69
CHC,2882756,35590,27.8,27.9,101,103,0,2,11,86159366.00,2:58,Sveum,2012,61
CHW,1965955,24271,29.9,27.5,104,104,0,4,15,118208000.00,2:54,Ventura,2012,85
CIN,2347251,28978,28.8,27.1,104,104,0,3,13,80309500.00,3:00,Baker,2012,97
CLE,1603596,19797,27.8,27.6,94,95,0,2,10,78911300.00,2:58,Acta and Alomar,2012,68
COL,2630458,32475,28.1,28.2,117,117,0,1,10,75485000.00,3:06,Tracy,2012,64
DET,3028033,37383,28,28.2,105,104,0,3,9,131394000.00,2:59,Leyland,2012,88
HOU,1607733,19849,26.6,27.2,100,102,0,1,6,37651000.00,3:02,Mills and DeFrancesco,2012,55
KCR,1739859,21480,26.1,27.3,102,102,0,1,10,61747075.00,2:57,Yost,2012,72
LAA,3061770,37800,28.8,30.1,94,93,0,4,16,140581000.00,2:57,Scioscia,2012,89
LAD,3324246,41040,30.4,29,96,96,0,2,14,177033600.00,3:05,Mattingly,2012,86
MIA,2219444,27401,28.3,28.8,102,103,0,1,12,107678000.00,2:57,Guillen,2012,69
MIL,2831385,34955,29.2,29,105,104,0,1,14,95717000.00,3:08,Roenicke,2012,83
MIN,2776354,34276,28.8,27.8,98,100,0,1,8,99066000.00,2:59,Gardenhire,2012,66
NYM,2242803,27689,27.9,30.3,95,96,0,2,7,91621424.00,2:56,Collins,2012,74
NYY,3542406,43733,32.7,30.3,104,103,0,4,19,197977900.00,3:07,Girardi,2012,95
OAK,1679013,20729,27.7,27.9,95,95,0,1,13,61202500.00,3:02,Melvin,2012,94
PHI,3565718,44021,31.1,29.1,102,102,0,3,15,171501558.00,2:56,Manuel,2012,81
PIT,2091918,25826,27.6,30.2,95,95,0,2,13,70077000.00,3:01,Hurdle,2012,79
SDP,2123721,26219,27.4,28,91,91,0,1,9,55494700.00,2:56,Black,2012,76
SEA,1721920,21258,27.1,27.9,92,93,0,1,9,78235600.00,2:56,Wedge,2012,75
SFG,3377371,41696,27.8,30,89,89,0,4,14,117637350.00,3:02,Bochy,2012,94
STL,3262109,40273,29.2,28.6,98,96,0,6,16,112071000.00,3:01,Matheny,2012,88
TBR,1559681,19255,29.7,28.1,95,94,0,2,12,63368700.00,3:06,Maddon,2012,90
TEX,3460280,42720,29.7,28.8,109,107,0,8,16,124119900.00,3:00,Washington,2012,93
TOR,2099663,25922,27.9,27.8,102,103,0,1,8,82352700.00,2:58,Farrell,2012,73
WSN,2370794,29269,27.2,27,101,101,0,4,13,92386000.00,3:03,Johnson,2012,98
ARI,2134895,26357,28.1,27.6,102,103,0,2,10,80060500.00,3:08,Gibson,2013,81
ATL,2548679,31465,26.8,27.2,101,100,0,3,10,95618750.00,2:59,Gonzalez,2013,96
BAL,2357561,29106,27.8,27.9,103,102,0,5,14,100832000.00,3:01,Showalter,2013,85
BOS,2833333,34979,29.7,30.2,103,103,0,3,16,175395500.00,3:15,Farrell,2013,97
CHC,2642682,32626,27.9,28.7,102,103,0,1,8,67874166.00,3:07,Sveum,2013,66
CHW,1768413,21832,29.2,27.1,104,105,0,2,9,81401900.00,3:02,Ventura,2013,63
CIN,2492101,31151,28.5,27.7,101,101,0,3,13,106255535.00,3:08,Baker,2013,90
CLE,1572926,19419,28.6,27.5,95,95,0,2,10,87342433.00,3:03,Francona,2013,92
COL,2793828,34492,27.7,28.3,118,119,0,3,9,73768000.00,3:05,Weiss,2013,74
DET,3083397,38067,29.9,28.4,104,104,0,6,11,154407000.00,3:06,Leyland,2013,93
HOU,1651883,20394,26,27.2,99,101,0,1,5,14672300.00,3:12,Porter,2013,51
KCR,1750754,21614,27,28.9,103,103,0,3,14,87426250.00,2:55,Yost,2013,86
LAA,3019505,37278,27.8,29.1,94,94,0,1,9,116532500.00,3:12,Scioscia,2013,78
LAD,3743527,46216,30.6,28.1,96,95,0,1,19,254161000.00,3:07,Mattingly,2013,92
MIA,1586322,19584,27.7,26,102,103,0,1,4,24761900.00,2:57,Redmond,2013,62
MIL,2531105,31248,27.9,28.8,103,103,0,2,9,86945000.00,3:03,Roenicke,2013,74
MIN,2477644,30588,28.3,28.3,101,102,0,2,5,63042500.00,3:06,Gardenhire,2013,66
NYM,2135657,26366,28.3,29.1,94,95,0,2,5,69425860.00,3:08,Collins,2013,74
